10150,1.2.0.0/16,"(10150, 4826, 13335, 20473, 52025, 42, 10886, 27)"
10150,1.2.3.0/24,"(10150, 4826, 198949, 396450, 2152, 25)"
10152,1.2.0.0/16,"(10152, 7474, 32787, 2516, 7660, 11537, 10886, 27)"
10152,1.2.3.0/24,"(10152, 2764, 4826, 198949, 396450, 2152, 25)"
10154,1.2.0.0/16,"(10154, 4766, 4651, 13335, 20473, 52025, 42, 10886, 27)"
10154,1.2.3.0/24,"(10154, 4766, 4651, 13335, 15830, 198949, 396450, 2152, 25)"
10155,1.2.0.0/16,"(10155, 3786, 11164, 10886, 27)"
10155,1.2.3.0/24,"(10155, 3786, 2152, 25)"
10156,1.2.0.0/16,"(10156, 4766, 4651, 13335, 20473, 52025, 42, 10886, 27)"
10156,1.2.3.0/24,"(10156, 4766, 4651, 13335, 15830, 198949, 396450, 2152, 25)"
10157,1.2.0.0/16,"(10157, 45974, 2914, 42, 10886, 27)"
10157,1.2.3.0/24,"(10157, 45974, 3786, 2152, 25)"
10158,1.2.0.0/16,"(10158, 2500, 7660, 11537, 10886, 27)"
10158,1.2.3.0/24,"(10158, 4826, 198949, 396450, 2152, 25)"
10159,1.2.0.0/16,"(10159, 3786, 11164, 10886, 27)"
10159,1.2.3.0/24,"(10159, 3786, 2152, 25)"
10160,1.2.0.0/16,"(10160, 45996, 9318, 15830, 20473, 52025, 42, 10886, 27)"
10160,1.2.3.0/24,"(10160, 45996, 9318, 15830, 198949, 396450, 2152, 25)"
10161,1.2.0.0/16,"(10161, 3786, 11164, 10886, 27)"
10161,1.2.3.0/24,"(10161, 3786, 2152, 25)"
10162,1.2.0.0/16,"(10162, 3786, 11164, 10886, 27)"
10162,1.2.3.0/24,"(10162, 3786, 2152, 25)"
10164,1.2.0.0/16,"(10164, 9318, 15830, 20473, 52025, 42, 10886, 27)"
10164,1.2.3.0/24,"(10164, 9318, 15830, 198949, 396450, 2152, 25)"
10165,1.2.0.0/16,"(10165, 3786, 11164, 10886, 27)"
10165,1.2.3.0/24,"(10165, 3786, 2152, 25)"
10166,1.2.0.0/16,"(10166, 4766, 4651, 13335, 20473, 52025, 42, 10886, 27)"
10166,1.2.3.0/24,"(10166, 4766, 4651, 13335, 15830, 198949, 396450, 2152, 25)"
10167,1.2.0.0/16,"(10167, 3786, 11164, 10886, 27)"
10167,1.2.3.0/24,"(10167, 3786, 2152, 25)"
10168,1.2.0.0/16,"(10168, 3786, 11164, 10886, 27)"
10168,1.2.3.0/24,"(10168, 3786, 2152, 25)"
1017,1.2.0.0/16,"(1017, 286, 10886, 27)"
1017,1.2.3.0/24,"(1017, 286, 3356, 2152, 25)"
10170,1.2.0.0/16,"(10170, 3786, 11164, 10886, 27)"
10170,1.2.3.0/24,"(10170, 3786, 2152, 25)"
10171,1.2.0.0/16,"(10171, 3786, 11164, 10886, 27)"
10171,1.2.3.0/24,"(10171, 3786, 2152, 25)"
10172,1.2.0.0/16,"(10172, 3786, 11164, 10886, 27)"
10172,1.2.3.0/24,"(10172, 3786, 2152, 25)"
10173,1.2.0.0/16,"(10173, 3786, 11164, 10886, 27)"
10173,1.2.3.0/24,"(10173, 3786, 2152, 25)"
10174,1.2.0.0/16,"(10174, 3786, 11164, 10886, 27)"
10174,1.2.3.0/24,"(10174, 3786, 2152, 25)"
10175,1.2.0.0/16,"(10175, 7562, 3786, 11164, 10886, 27)"
10175,1.2.3.0/24,"(10175, 7562, 3786, 2152, 25)"
10176,1.2.0.0/16,"(10176, 4766, 4651, 13335, 20473, 52025, 42, 10886, 27)"
10176,1.2.3.0/24,"(10176, 4766, 4651, 13335, 15830, 198949, 396450, 2152, 25)"
10177,1.2.0.0/16,"(10177, 3786, 11164, 10886, 27)"
10177,1.2.3.0/24,"(10177, 3786, 2152, 25)"
